Date,Average,Maximum,Minimum
198907,27.55555556,34.22222222,20.88888889
198908,26.94444444,33.27777778,20.61111111
198909,22.83333333,30.05555556,15.61111111
198910,19.38888889,27.38888889,11.33333333
198911,13.83333333,21.27777778,6.388888889
198912,4.277777778,11.55555556,-3
199001,10.11111111,17.33333333,2.888888889
199002,11.83333333,19.11111111,4.5
199003,14.05555556,20.05555556,8
199004,18.16666667,24.66666667,11.66666667
199005,22.66666667,29.16666667,16.11111111
199006,28.66666667,35.61111111,21.72222222
199007,26.61111111,32.66666667,20.5
199008,26.94444444,33.44444444,20.38888889
199009,24.66666667,30.77777778,18.55555556
199010,18.05555556,25.77777778,10.33333333
199011,14.61111111,21.5,7.666666667
199012,7.666666667,14.88888889,0.5
199101,6.333333333,11.88888889,0.888888889
199102,11.38888889,18.55555556,4.277777778
199103,15.16666667,22.66666667,7.666666667
199104,19.5,26.61111111,12.33333333
199105,23.66666667,30.11111111,17.22222222
199106,26.33333333,32.72222222,19.94444444
199107,27.16666667,33.44444444,20.88888889
199108,26.83333333,33.16666667,20.55555556
199109,22.44444444,28.11111111,16.77777778
199110,19.5,27.11111111,11.94444444
199111,10.5,17,4
199112,9.555555556,14.66666667,4.444444444
199201,7.444444444,12.83333333,2.055555556
199202,11.66666667,18.05555556,5.277777778
199203,14.94444444,22.05555556,7.833333333
199204,18.05555556,24.88888889,11.27777778
199205,20.88888889,26.88888889,14.94444444
199206,25.5,31.83333333,19.16666667
199207,27.44444444,33.66666667,21.22222222
199208,25.66666667,32.22222222,19.05555556
199209,24.44444444,31.33333333,17.61111111
199210,19.66666667,27.66666667,11.66666667
199211,11,17.66666667,4.333333333
199212,9.222222222,15.22222222,3.222222222
199301,7.5,13.27777778,1.666666667
199302,9.611111111,16.05555556,3.111111111
199303,13.33333333,20.27777778,6.333333333
199304,17.22222222,24.72222222,9.666666667
199305,21.44444444,28.27777778,14.55555556
199306,26.11111111,32.05555556,20.16666667
199307,28.38888889,34.61111111,22.22222222
199308,28.27777778,35.16666667,21.38888889
199309,23.88888889,31.05555556,16.66666667
199310,18,25.11111111,10.77777778
199311,10.55555556,17.66666667,3.444444444
199312,9.555555556,16.27777778,2.833333333
199401,8.111111111,15,1.277777778
199402,9.5,16.72222222,2.222222222
199403,14.66666667,21.83333333,7.444444444
199404,18.33333333,25.94444444,10.72222222
199405,21.94444444,28,15.88888889
199406,27.83333333,34.66666667,21.05555556
199407,28.27777778,35.16666667,21.33333333
199408,27.5,34.22222222,20.72222222
199409,23.55555556,30.66666667,16.5
199410,19.33333333,25.77777778,12.88888889
199411,14.44444444,20.83333333,8
199412,10.33333333,16.44444444,4.222222222
199501,8.888888889,15.44444444,2.333333333
199502,11.77777778,19.16666667,4.388888889
199503,13.61111111,19.88888889,7.277777778
199504,17.66666667,25.16666667,10.16666667
199505,22.44444444,28.88888889,16.05555556
199506,25.22222222,31.88888889,18.5
199507,28.16666667,35.11111111,21.27777778
199508,27.88888889,34.22222222,21.55555556
199509,24.11111111,30.5,17.72222222
199510,19.05555556,27.16666667,10.88888889
199511,13.27777778,20.72222222,5.833333333
199512,9.333333333,15.83333333,2.777777778
199601,7.722222222,16.11111111,-0.666666667
199602,11.61111111,19.5,3.722222222
199603,11.72222222,19.66666667,3.777777778
199604,18.05555556,26.44444444,9.666666667
199605,25.83333333,32.77777778,18.88888889
199606,27.27777778,34.16666667,20.44444444
199607,28.66666667,35.22222222,22.16666667
199608,26.83333333,32.66666667,21
199609,23.27777778,29.33333333,17.16666667
199610,18.77777778,25.83333333,11.72222222
199611,13.27777778,19.94444444,6.611111111
199612,9.888888889,17.33333333,2.444444444
199701,7.166666667,13.33333333,0.944444444
199702,9.444444444,15.11111111,3.833333333
199703,15.22222222,22.33333333,8.166666667
199704,15.38888889,21.77777778,8.944444444
199705,21.38888889,27.83333333,15
199706,25.33333333,31.55555556,19.11111111
199707,28.16666667,34.83333333,21.55555556
199708,27.66666667,34.27777778,21
199709,25.55555556,32.44444444,18.66666667
199710,18.88888889,25.66666667,12.16666667
199711,11.38888889,17.88888889,4.888888889
199712,7.222222222,13.77777778,0.666666667
199801,10.33333333,17.27777778,3.388888889
199802,10.61111111,17.16666667,4.111111111
199803,12.77777778,19.66666667,5.944444444
199804,17.22222222,25.22222222,9.277777778
199805,25.11111111,32.88888889,17.33333333
199806,28.83333333,36.11111111,21.55555556
199807,30.22222222,37.33333333,23.11111111
199808,27.94444444,34.38888889,21.44444444
199809,26.38888889,32.77777778,20.05555556
199810,20.27777778,26.22222222,14.27777778
199811,14.72222222,20.5,8.944444444
199812,9,15.44444444,2.611111111
199901,10.16666667,17.88888889,2.5
199902,13.66666667,21.61111111,5.666666667
199903,14.22222222,20.77777778,7.611111111
199904,19.38888889,26.44444444,12.27777778
199905,22.66666667,29.27777778,16.05555556
199906,26.22222222,32,20.44444444
199907,27.66666667,33.88888889,21.44444444
199908,29.05555556,36.38888889,21.72222222
199909,24.33333333,31.55555556,17.11111111
199910,18.77777778,26.94444444,10.55555556
199911,15.33333333,23.66666667,7.055555556
199912,9.222222222,16.77777778,1.666666667
200001,10.38888889,17.83333333,2.944444444
200002,13.88888889,21.66666667,6.111111111
200003,16.33333333,23.5,9.111111111
200004,18.94444444,26.38888889,11.5
200005,24.94444444,31.77777778,18.11111111
200006,25.88888889,31.44444444,20.33333333
200007,28.94444444,36.05555556,21.83333333
200008,29,36.44444444,21.5
200009,25.61111111,33.77777778,17.44444444
200010,19.55555556,25.22222222,13.88888889
200011,10.61111111,16.27777778,4.888888889
200012,5.777777778,11.77777778,-0.277777778
200101,6.611111111,12.38888889,0.833333333
200102,11.05555556,17.5,4.666666667
200103,11.83333333,17.77777778,5.888888889
200104,19.88888889,26.61111111,13.11111111
200105,23.38888889,30.22222222,16.55555556
200106,27.16666667,34,20.27777778
200107,29.5,36.33333333,22.61111111
200108,28.22222222,34.83333333,21.61111111
200109,23.83333333,30.33333333,17.27777778
200110,18.55555556,26.16666667,10.94444444
200111,14.94444444,21.05555556,8.833333333
200112,9.666666667,16.27777778,3
200201,9.277777778,16.5,2.055555556
200202,8.388888889,15.88888889,0.944444444
200203,13,20.55555556,5.388888889
200204,20.61111111,27,14.16666667
200205,23.33333333,30.27777778,16.33333333
200206,27,33.55555556,20.44444444
200207,27.16666667,32.94444444,21.44444444
200208,28.22222222,34.83333333,21.66666667
200209,24.44444444,31.22222222,17.72222222
200210,18.27777778,23.38888889,13.11111111
200211,11.66666667,18.27777778,5
200212,8.777777778,15.16666667,2.388888889
200301,7.888888889,14.77777778,0.944444444
200302,9.055555556,15.16666667,2.944444444
200303,14,21.05555556,6.944444444
200304,19.22222222,26.77777778,11.61111111
200305,24.33333333,31.22222222,17.38888889
200306,25.83333333,32.22222222,19.38888889
200307,27.83333333,34.22222222,21.38888889
200308,28.27777778,35.11111111,21.44444444
200309,23.27777778,29.38888889,17.16666667
200310,19.66666667,26.61111111,12.77777778
200311,14.44444444,20.77777778,8.166666667
200312,9.5,17.44444444,1.555555556
200401,9.388888889,15.55555556,3.166666667
200402,8.555555556,14.77777778,2.388888889
200403,16.55555556,22.61111111,10.44444444
200404,17.94444444,24.27777778,11.66666667
200405,23.16666667,29.72222222,16.66666667
200406,25.94444444,32,19.83333333
200407,27.05555556,33.27777778,20.88888889
200408,26.22222222,32.61111111,19.88888889
200409,24,30.55555556,17.5
200410,20.94444444,26.88888889,15
200411,13.16666667,18.66666667,7.611111111
200412,8.666666667,15.77777778,1.555555556
200501,10.38888889,16.55555556,4.222222222
200502,11.05555556,16.22222222,5.888888889
200503,13.61111111,20.77777778,6.5
200504,17.94444444,25.66666667,10.16666667
200505,22.11111111,28.61111111,15.61111111
200506,26.94444444,33.83333333,20.05555556
200507,28,34.83333333,21.27777778
200508,27.38888889,33.88888889,20.94444444
200509,26.61111111,34,19.22222222
200510,19.11111111,26.22222222,12.05555556
200511,14.83333333,23,6.666666667
200512,8.444444444,16.33333333,0.611111111
200601,11.61111111,20.16666667,3.055555556
200602,10.11111111,17.88888889,2.333333333
200603,16.16666667,23.05555556,9.277777778
200604,21.5,29.11111111,13.88888889
200605,24.27777778,31.83333333,16.77777778
200606,27.11111111,34.38888889,19.77777778
200607,28.55555556,35.22222222,21.88888889
200608,28.66666667,35.16666667,22.05555556
200609,23.38888889,30.11111111,16.61111111
200610,19.33333333,26.27777778,12.33333333
200611,14.38888889,22.05555556,6.722222222
200612,9,15.66666667,2.388888889
200701,5.833333333,11.16666667,0.555555556
200702,9.666666667,16.77777778,2.5
200703,16.61111111,23.16666667,10
200704,16.5,23.33333333,9.666666667
200705,21.88888889,27.5,16.22222222
200706,25.5,31.38888889,19.55555556
200707,26.11111111,31.61111111,20.61111111
200708,27.66666667,33.72222222,21.66666667
200709,25.05555556,31.22222222,18.94444444
200710,20.33333333,28.16666667,12.55555556
200711,14.22222222,21.33333333,7.111111111
200712,9.555555556,17,2
200801,7.833333333,15,0.666666667
200802,11.77777778,20.22222222,3.333333333
200803,14.66666667,22.55555556,6.777777778
200804,18.5,26.44444444,10.5
200805,23.5,30.66666667,16.33333333
200806,28.27777778,35.27777778,21.27777778
200807,27.61111111,34.11111111,21.16666667
200808,27.11111111,33.22222222,21
200809,22.94444444,29.5,16.33333333
200810,18.55555556,26.27777778,10.83333333
200811,13.77777778,21.61111111,5.888888889
200812,9,16.72222222,1.277777778
200901,8.833333333,17.27777778,0.388888889
200902,13.05555556,21.38888889,4.777777778
200903,15.27777778,22.61111111,7.944444444
200904,18.22222222,25.88888889,10.61111111
200905,23.11111111,29.77777778,16.38888889
200906,27.61111111,34.61111111,20.61111111
200907,28.94444444,35.77777778,22.11111111
200908,28.5,35.5,21.44444444
200909,23.38888889,29.44444444,17.33333333
200910,17.88888889,24.22222222,11.5
200911,14.05555556,21.61111111,6.444444444
200912,6.166666667,12.16666667,0.166666667
201001,6.888888889,13.61111111,0.222222222
201002,6.666666667,12.22222222,1.055555556
201003,12.66666667,20.16666667,5.222222222
201004,18.33333333,25.22222222,11.5
201005,23.22222222,30,16.38888889
201006,28.16666667,34.55555556,21.72222222
201007,27.44444444,32.72222222,22.11111111
201008,29.11111111,36.11111111,22.05555556
201009,25.38888889,31.77777778,19
201010,19.55555556,27.77777778,11.27777778
201011,13.66666667,21.61111111,5.722222222
201012,9.555555556,17.22222222,1.888888889
201101,7.222222222,14.55555556,-0.166666667
201102,9.277777778,17.16666667,1.388888889
201103,16.55555556,24.55555556,8.611111111
201104,21.27777778,29.83333333,12.72222222
201105,23.38888889,31,15.72222222
201106,29.55555556,37.22222222,21.88888889
201107,30.55555556,37.61111111,23.44444444
201108,31.22222222,38.66666667,23.72222222
201109,25.5,33.66666667,17.27777778
201110,19.38888889,27.27777778,11.55555556
201111,13.83333333,21.27777778,6.388888889
201112,7.833333333,13.16666667,2.5
201201,10.22222222,18,2.5
201202,11,17.16666667,4.777777778
201203,17.33333333,24.22222222,10.44444444
201204,21.22222222,28.83333333,13.66666667
201205,24.16666667,30.94444444,17.38888889
201206,28,35.05555556,20.88888889
201207,28.55555556,35.05555556,22
201208,28.72222222,35.77777778,21.66666667
201209,24.77777778,31.77777778,17.83333333
201210,18.83333333,25.83333333,11.77777778
201211,15,23,7
201212,10.61111111,18.11111111,3
201301,8.833333333,15.22222222,2.444444444
201302,10.94444444,18.27777778,3.555555556
201303,14,22.11111111,5.888888889
201304,17.22222222,25.05555556,9.388888889
201305,22.5,29.55555556,15.44444444
201306,27.66666667,34.44444444,20.94444444
201307,27.38888889,33.72222222,21.05555556
201308,28.5,35.44444444,21.55555556
201309,25.66666667,32.33333333,19
201310,19.27777778,26.16666667,12.33333333
201311,11.61111111,17.94444444,5.277777778
201312,7.111111111,13.72222222,0.5
201401,6.944444444,15,-1.111111111
201402,9.111111111,16.16666667,2.055555556
201403,12.66666667,20.5,4.833333333
201404,18.55555556,26.16666667,10.94444444
201405,22.22222222,29.5,15
201406,27,33,21
201407,27.61111111,33.94444444,21.27777778
201408,28.11111111,34.83333333,21.44444444
201409,24.66666667,30.33333333,19
201410,20.88888889,28.22222222,13.55555556
201411,10.83333333,17.55555556,4.111111111
201412,10.38888889,15.83333333,4.944444444
201501,6.666666667,12.55555556,0.722222222
201502,9,15.77777778,2.277777778
201503,13.44444444,19.66666667,7.222222222
201504,19.22222222,25.61111111,12.77777778
201505,22,27.72222222,16.27777778
201506,26.27777778,32.16666667,20.33333333
201507,28.44444444,34.72222222,22.16666667
201508,28.5,35.61111111,21.38888889
201509,26.22222222,33.11111111,19.38888889
201510,20.66666667,27.55555556,13.77777778
201511,14.05555556,20.16666667,7.944444444
201512,10.83333333,17.83333333,3.777777778
201601,8,14.88888889,1.111111111
201602,12.44444444,20.55555556,4.277777778
201603,16.22222222,23.5,9
201604,18.94444444,25.88888889,11.94444444
201605,22,28.22222222,15.77777778
201606,26.72222222,32.88888889,20.5
201607,29.66666667,36.33333333,23
201608,27.5,33.44444444,21.61111111
201609,25.33333333,31.33333333,19.27777778
201610,21.61111111,28.88888889,14.27777778
201611,16.11111111,22.5,9.777777778
201612,9.777777778,15.66666667,3.833333333
201701,10.44444444,17.22222222,3.666666667
201702,14.66666667,22.22222222,7.111111111
201703,17.55555556,24.66666667,10.38888889
201704,19.5,26.72222222,12.33333333
201705,22.22222222,29.44444444,15
201706,27,33.5,20.44444444
201707,28.66666667,35.27777778,22
201708,27,32.88888889,21.16666667
201709,24.72222222,31.33333333,18.11111111
201710,19.16666667,26.66666667,11.72222222
201711,15.72222222,22.88888889,8.555555556
201712,8.777777778,15.38888889,2.166666667
201801,6.555555556,14.33333333,-1.166666667
201802,11.27777778,18.16666667,4.444444444
201803,16.5,23.83333333,9.111111111
201804,17.22222222,25.44444444,9
201805,25.55555556,32.72222222,18.38888889
201806,28.83333333,35.44444444,22.16666667
201807,29.16666667,36,22.22222222
201808,28.33333333,35,21.72222222
201809,24.55555556,29.83333333,19.33333333
201810,18.55555556,23.66666667,13.38888889
201811,11.05555556,17.72222222,4.444444444
201812,9.055555556,15.11111111,3
201901,8.444444444,14.94444444,1.944444444
201902,11.05555556,17.33333333,4.722222222
201903,13.16666667,19.55555556,6.777777778
201904,18.33333333,25.66666667,11
201905,22.5,28.27777778,16.72222222
201906,26.16666667,32.66666667,19.66666667
201907,28.22222222,34.88888889,21.55555556
201908,29.94444444,36.83333333,23
201909,27.5,33.94444444,21.05555556
201910,18.44444444,25.72222222,11.16666667
201911,11.77777778,18.83333333,4.722222222
201912,10.38888889,18,2.777777778
202001,10.38888889,17.11111111,3.722222222
202002,9.666666667,16.38888889,2.944444444
202003,17.33333333,23.27777778,11.44444444
202004,18.38888889,25.66666667,11.11111111
202005,23.66666667,30.94444444,16.33333333
202006,27.05555556,33.83333333,20.22222222
202007,29.55555556,36.11111111,23
202008,29.11111111,36.38888889,21.88888889
202009,23.38888889,29.77777778,17
202010,18.83333333,26.61111111,11
202011,15.88888889,23.44444444,8.333333333
202012,9.166666667,17,1.277777778
202101,8.5,14.94444444,2.055555556
202102,6.666666667,13.33333333,0
202103,15.22222222,22.66666667,7.888888889
202104,17.61111111,24.5,10.72222222
202105,22.16666667,28,16.27777778
202106,26.83333333,32.88888889,20.77777778
202107,27.16666667,32.88888889,21.44444444
202108,27.72222222,33.77777778,21.66666667
202109,25.66666667,33.11111111,18.27777778
202110,21,28.44444444,13.55555556
202111,14.05555556,21.55555556,6.611111111
202112,15.05555556,22.33333333,7.777777778
202201,7.666666667,15.66666667,-0.388888889
202202,7.666666667,15.55555556,-0.222222222
202203,13.88888889,22.5,5.277777778
202204,20.44444444,28.11111111,12.77777778
202205,25.55555556,32.94444444,18.11111111
202206,28.77777778,35.77777778,21.72222222
202207,30.66666667,37.77777778,23.5
202208,28.55555556,34.66666667,22.38888889
202209,25.44444444,32.38888889,18.5
202210,19.11111111,26.5,11.72222222
202211,12.22222222,18.16666667,6.222222222
202212,10,16.16666667,3.833333333
202301,10.88888889,18.05555556,3.722222222
202302,11.11111111,18.11111111,4.111111111
202303,15.77777778,22.72222222,8.833333333
202304,18.11111111,25.38888889,10.88888889
202305,23.16666667,29.5,16.83333333
202306,27.94444444,34.88888889,21
202307,30.11111111,37.11111111,23.16666667
202308,30.83333333,38.38888889,23.27777778
202309,27.66666667,34.77777778,20.55555556
202310,20.22222222,26.83333333,13.61111111
202311,13.55555556,19.66666667,7.444444444
202312,11,17.94444444,4.055555556
