Year,Mounth,Value,Anomaly
2012,05,87.7,3.0
2012,06,95.1,3.5
2012,07,95.1,0.7
2012,08,96.4,2.2
2012,09,89.2,1.2
2012,10,78.5,-0.4
2012,11,73.4,6.2
2012,12,64.6,5.6
2013,01,59.4,1.7
2013,02,64.9,2.7
2013,03,71.8,2.4
2013,04,77.1,-0.7
2013,05,85.2,0.5
2013,06,94.0,2.4
2013,07,92.7,-1.7
2013,08,95.8,1.6
2013,09,90.2,2.2
2013,10,79.1,0.2
2013,11,64.3,-2.9
2013,12,56.7,-2.3
2014,01,59.0,1.3
2014,02,61.1,-1.1
2014,03,68.9,-0.5
2014,04,79.1,1.3
2014,05,85.1,0.4
2014,06,91.4,-0.2
2014,07,93.1,-1.3
2014,08,94.7,0.5
2014,09,86.6,-1.4
2014,10,82.8,3.9
2014,11,63.6,-3.6
2014,12,60.5,1.5
2015,01,54.6,-3.1
2015,02,60.4,-1.8
2015,03,67.4,-2.0
2015,04,78.1,0.3
2015,05,81.9,-2.8
2015,06,89.9,-1.7
2015,07,94.5,0.1
2015,08,96.1,1.9
2015,09,91.6,3.6
2015,10,81.6,2.7
2015,11,68.3,1.1
2015,12,64.1,5.1
2016,01,58.8,1.1
2016,02,69.0,6.8
2016,03,74.3,4.9
2016,04,78.6,0.8
2016,05,82.8,-1.9
2016,06,91.2,-0.4
2016,07,97.4,3.0
2016,08,92.2,-2.0
2016,09,88.4,0.4
2016,10,84.0,5.1
2016,11,72.5,5.3
2016,12,60.2,1.2
2017,01,63.0,5.3
2017,02,72.0,9.8
2017,03,76.4,7.0
2017,04,80.1,2.3
2017,05,85.0,0.3
2017,06,92.3,0.7
2017,07,95.5,1.1
2017,08,91.2,-3.0
2017,09,88.4,0.4
2017,10,80.0,1.1
2017,11,73.2,6.0
2017,12,59.7,0.7
2018,01,57.8,0.1
2018,02,64.7,2.5
2018,03,74.9,5.5
2018,04,77.8,0.0
2018,05,90.9,6.2
2018,06,95.8,4.2
2018,07,96.8,2.4
2018,08,95.0,0.8
2018,09,85.7,-2.3
2018,10,74.6,-4.3
2018,11,63.9,-3.3
2018,12,59.2,0.2
